source_file,source_type,room,board_number,vulnerability_code,vulnerability,dealer_code,dealer,south_hand_raw,west_hand_raw,north_hand_raw,east_hand_raw,south_hand_norm,west_hand_norm,north_hand_norm,east_hand_norm,tricks_claimed,bidding_sequence,final_contract
85168.lin,BBO,open,13,b,both,3,N,SJ9HAQ9DQJT96CJ95,SA53HK84DAK54CKT8,SKT87HT76D873C743,SQ642HJ532D2CAQ62,SJ9HAQ9DQJT96CJ95,SA53HK84DAK54CKT8,SKT87HT76D873C743,SQ642HJ532D2CAQ62,8,PASS PASS 1D 1NT PASS 2C PASS 2D! PASS 2NT PASS 3NT PASS PASS PASS,3NT
85168.lin,BBO,closed,13,b,both,3,N,SJ9HAQ9DQJT96CJ95,SA53HK84DAK54CKT8,SKT87HT76D873C743,SQ642HJ532D2CAQ62,SJ9HAQ9DQJT96CJ95,SA53HK84DAK54CKT8,SKT87HT76D873C743,SQ642HJ532D2CAQ62,,PASS PASS 1D 1NT PASS 2C! PASS 2D PASS 3NT PASS PASS PASS,3NT
85168.lin,BBO,open,14,o,none,4,E,SAT542HAJ6DA983C4,SHQ98743DK2CJ9863,SQJ983HKT2DT75CQT,SK76H5DQJ64CAK752,SAT542HAJ6DA983C4,SHQ98743DK2CJ9863,SQJ983HKT2DT75CQT,SK76H5DQJ64CAK752,11,1C 1S X 2NT PASS 4S 5C PASS PASS X PASS PASS PASS,5C
85168.lin,BBO,closed,14,o,none,4,E,SAT542HAJ6DA983C4,SHQ98743DK2CJ9863,SQJ983HKT2DT75CQT,SK76H5DQJ64CAK752,SAT542HAJ6DA983C4,SHQ98743DK2CJ9863,SQJ983HKT2DT75CQT,SK76H5DQJ64CAK752,11,1C 1S X 2C! PASS 4S 5C PASS PASS X PASS PASS PASS,5C
85168.lin,BBO,open,15,n,ns,1,S,S652HJ65DT62CAJ94,SQJ9HQT7DKQ54CT72,SAT873HK42D93CQ85,SK4HA983DAJ87CK63,S652HJ65DT62CAJ94,SQJ9HQT7DKQ54CT72,SAT873HK42D93CQ85,SK4HA983DAJ87CK63,8,PASS PASS PASS 1NT PASS 3NT PASS PASS PASS,3NT
85168.lin,BBO,closed,15,n,ns,1,S,S652HJ65DT62CAJ94,SQJ9HQT7DKQ54CT72,SAT873HK42D93CQ85,SK4HA983DAJ87CK63,S652HJ65DT62CAJ94,SQJ9HQT7DKQ54CT72,SAT873HK42D93CQ85,SK4HA983DAJ87CK63,,PASS PASS PASS 1NT PASS 3NT PASS PASS PASS,3NT
85168.lin,BBO,open,16,e,ew,2,W,SJ52HAT843DQ4CQT9,ST3HKQJ9DAT86CK82,SKQ864H65D72CJ754,SA97H72DKJ953CA63,SJ52HAT843DQ4CQT9,ST3HKQJ9DAT86CK82,SKQ864H65D72CJ754,SA97H72DKJ953CA63,,1D 1S 2S! 3S PASS PASS 3NT PASS PASS PASS,3NT
85168.lin,BBO,closed,16,e,ew,2,W,SJ52HAT843DQ4CQT9,ST3HKQJ9DAT86CK82,SKQ864H65D72CJ754,SA97H72DKJ953CA63,SJ52HAT843DQ4CQT9,ST3HKQJ9DAT86CK82,SKQ864H65D72CJ754,SA97H72DKJ953CA63,9,1D 2D! X 3H! X 3S 3NT PASS PASS PASS,3NT
85168.lin,BBO,open,17,o,none,3,N,SQ6HK964DKQJ2CJ52,SAKT5HQJDT6CAQT93,SJ9832HT852D974C8,S74HA73DA853CK764,SQ6HK964DKQJ2CJ52,SAKT5HQJDT6CAQT93,SJ9832HT852D974C8,S74HA73DA853CK764,10,PASS PASS 1D 2C PASS 2D! PASS 2S PASS 3NT PASS PASS PASS,3NT
85168.lin,BBO,closed,17,o,none,3,N,SQ6HK964DKQJ2CJ52,SAKT5HQJDT6CAQT93,SJ9832HT852D974C8,S74HA73DA853CK764,SQ6HK964DKQJ2CJ52,SAKT5HQJDT6CAQT93,SJ9832HT852D974C8,S74HA73DA853CK764,9,PASS 1C 1D 1H! PASS 1NT PASS 3NT PASS PASS PASS,3NT
