source_file,source_type,room,board_number,vulnerability_code,vulnerability,dealer_code,dealer,south_hand_raw,west_hand_raw,north_hand_raw,east_hand_raw,south_hand_norm,west_hand_norm,north_hand_norm,east_hand_norm,tricks_claimed,bidding_sequence,final_contract,board_data_status
85307.lin,BBO,open,26,b,both,4.0,E,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,,PASS PASS 1D 1NT PASS 2H! PASS 2S PASS 3S PASS 4S PASS PASS PASS,4S,missing_or_invalid
85315.lin,BBO,open,14,o,none,4.0,E,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,10.0,PASS PASS PASS 1NT PASS 2C! PASS 2D PASS 2H! PASS 2S! PASS 3D! PASS 4D PASS 5D PASS PASS PASS,5D,missing_or_invalid
85335.lin,BBO,open,7,b,both,1.0,S,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,,PASS PASS 1S 1NT PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85356.lin,BBO,open,23,b,both,1.0,S,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,8.0,PASS PASS 1H 3D PASS PASS X PASS PASS PASS,3D,missing_or_invalid
85356.lin,BBO,open,24,o,none,2.0,W,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,9.0,1C PASS 1H PASS 2C PASS 3H PASS 4H PASS PASS PASS,4H,missing_or_invalid
85356.lin,BBO,open,25,e,ew,3.0,N,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,SHDC,11.0,1C PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85489.lin,BBO,open,1,o,none,,,,,,,,,,,,1C PASS 1H PASS 3C PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85489.lin,BBO,open,2,n,ns,,,,,,,,,,,9.0,2D X PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85489.lin,BBO,open,3,e,ew,,,,,,,,,,,,1D PASS PASS 2C PASS PASS PASS,2C,missing_or_invalid
85647.lin,BBO,open,1,o,none,3.0,N,SK76HT93DQJ5CJ873,SAT52H2DT96CAK965,SQJ984HJ8764DK2CQ,,SK76HT93DQJ5CJ873,SAT52H2DT96CAK965,SQJ984HJ8764DK2CQ,,9.0,2C! 2D PASS 2S PASS 2NT PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85647.lin,BBO,open,2,n,ns,4.0,E,SAK843HAQ72DK76C2,SQTHJ965DQJ82CK54,SJ92HT4DA43CQ9763,,SAK843HAQ72DK76C2,SQTHJ965DQJ82CK54,SJ92HT4DA43CQ9763,,10.0,PASS 1S PASS 2S PASS 3C! PASS 3H PASS 4S PASS PASS PASS,4S,missing_or_invalid
85647.lin,BBO,open,3,e,ew,1.0,S,S5HQT986D985CK987,SK64HAD643CJ65432,SAJ3HJ73DAQJT72CQ,,S5HQT986D985CK987,SK64HAD643CJ65432,SAJ3HJ73DAQJT72CQ,,,PASS PASS 1D 1S 2H! 2S 3H! PASS PASS PASS,2S,missing_or_invalid
85647.lin,BBO,open,4,b,both,2.0,W,S5H42DQJ94CKQJ975,SAK9874HJ3DK763C3,SJ632HA8DAT2CT864,,S5H42DQJ94CKQJ975,SAK9874HJ3DK763C3,SJ632HA8DAT2CT864,,10.0,1S PASS 1NT 2C PASS 3C 4H PASS PASS PASS,4H,missing_or_invalid
85647.lin,BBO,open,5,n,ns,3.0,N,S74HAJT5432DT87C9,SAK65H6DAJ54CQJ72,SJT92HK87D6CT8653,,S74HAJT5432DT87C9,SAK65H6DAJ54CQJ72,SJT92HK87D6CT8653,,12.0,PASS 1NT PASS 2C PASS 2D PASS 2S! PASS 3C PASS 3D! PASS 3S! PASS 4D! PASS 4H! X 5D PASS PASS PASS,5D,missing_or_invalid
85647.lin,BBO,open,6,e,ew,4.0,E,SJ85HKT985D974CA7,ST3H7632D863CQJ96,S72HAJDAKJT52C543,,SJ85HKT985D974CA7,ST3H7632D863CQJ96,S72HAJDAKJT52C543,,11.0,1S PASS PASS 2D 2S 2NT PASS 3C PASS 3D PASS PASS PASS,3D,missing_or_invalid
85647.lin,BBO,open,7,b,both,1.0,S,S753HKT73D76CK873,ST942HAQ85DQ832C4,SAJ86H2DAKJT9CJ95,,S753HKT73D76CK873,ST942HAQ85DQ832C4,SAJ86H2DAKJT9CJ95,,,PASS PASS 1D PASS 1H PASS 1S PASS PASS PASS,1S,missing_or_invalid
85647.lin,BBO,open,8,o,none,2.0,W,S43H4DAKQT9632CQ9,SKJ6HAT873D7CJT76,SAQT82HJ952DJ4CA4,,S43H4DAKQT9632CQ9,SKJ6HAT873D7CJT76,SAQT82HJ952DJ4CA4,,12.0,PASS 1S PASS 2D PASS 2H PASS 3C! PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85647.lin,BBO,open,9,e,ew,3.0,N,S76H853D9653CAT32,SA9HQJ742DAT2CQJ5,ST8HAKT96DKQJ8CK4,,S76H853D9653CAT32,SA9HQJ742DAT2CQJ5,ST8HAKT96DKQJ8CK4,,8.0,1H 3S PASS PASS X PASS 4H PASS PASS PASS,4H,missing_or_invalid
